region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
Region IV-A,Tanauan City,M,84,"39,422",1434,59,1588,10,10,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,350,000",150,-85,-6,14.0865988,121.1258532,iva_tanauan
Region IV-A,Tayabas City,S,61,"21,979",890,35,562,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,351,000",30,18,1,14.0004321,121.5694304,iva_tayabas
Region IX,Dapitan City,S,61,"20,443",929,61,751,0,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,132,000",75,3,0,8.6373142,123.4138207,regionix_dapitan
Region IX,Dipolog City,M,84,"32,912",1365,48,1247,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,106,000",60,7,0,8.5771881,123.3399518,regionix_dipolog
Region IX,Isabela City,M,84,"31,998",1418,66,992,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,324,000",60,21,1,6.7073072,121.9753838,regionix_isabela
Region IX,Pagadian City,M,84,"43,890",1751,82,1354,10,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,995,000",75,38,3,7.8345971,123.4317159,regionix_pagadian
Region IX,Sulu,M,84,"141,816",3598,460,,10,20,,,,,,,,,,"2,400,000",225,233,16,6.0531173,121.0007633,regionix_sulu
Region IX,Zamboanga City,M,84,"234,814",7822,222,5952,10,12,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"20,088,000",180,84,6,6.9147709,122.0593461,regionix_zamboanga
Region IX,Zamboanga del Norte,L,142,"211,429",9067,766,8513,33,35,3,Province,,"2,400,000","3,120",1430,143,8,12000,"25,703,000",525,383,26,8.5830073,123.3465987,regionix_zamboangadelnorte
Region IX,Zamboanga del Sur,L,142,"189,030",9105,811,8716,33,32,2,Province,,"2,400,000","3,120",1430,143,8,12000,"25,663,000",480,453,30,7.8476679,123.4301883,regionix_zamboangadelsur
Region IX,Zamboanga Sibugay,M,84,"157,190",6892,508,5488,10,16,2,Province,,"2,400,000","3,120",1430,143,8,12000,"19,107,000",240,344,23,7.7993156,122.6144833,regionix_zamboangasibugay
Region V,Albay,L,142,"210,607",9833,556,8616,33,25,3,Province,,"2,400,000","3,120",1430,143,8,12000,"25,082,000",375,288,19,13.1569235,123.729074,regionv_albay
Region V,Camarines Norte,M,84,"154,346",6118,319,5935,10,14,2,Province,,"2,400,000","3,120",1430,143,8,12000,"17,095,000",210,186,12,14.1020414,122.9544079,regionv_camarinesnorte
Region V,Camarines Sur,VL,196,"422,961",18677,1101,15085,57,38,5,Province,,"2,400,000","3,120",1430,143,8,12000,"45,939,000",570,762,51,13.5643393,123.2672987,regionv_camarinessur
Region V,Catanduanes,M,84,"70,314",3591,268,3491,10,20,1,Province,,"2,400,000","3,120",1430,143,8,12000,"12,010,000",300,22,1,13.8076799,124.2748107,regionv_catanduanes
Region V,Iriga City,S,61,"23,976",1108,51,1108,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,402,000",45,23,2,13.4239548,123.4150441,regionv_iriga
Region V,Legaspi City,M,84,"41,899",1720,58,1422,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,687,000",60,13,1,13.1405051,123.7356369,regionv_legaspi
Region V,Ligao City,M,84,"32,529",1390,67,1273,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,076,000",45,34,2,13.238216,123.542562,regionv_ligao
Region V,Masbate,L,142,"208,660",10491,707,8175,33,32,3,Province,,"2,400,000","3,120",1430,143,8,12000,"27,197,000",480,410,27,12.373,123.631,regionv_masbate
Region V,Masbate City,M,84,"27,675",1166,46,893,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,758,000",60,-4,0,12.3690583,123.6274969,regionv_masbate
Region V,Naga City,M,84,"47,176",1856,45,1487,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,804,000",60,-6,0,13.6162788,123.1900902,regionv_naga
Region V,Sorsogon,M,84,"167,033",7811,531,7283,10,20,2,Province,,"2,400,000","3,120",1430,143,8,12000,"21,088,000",300,326,22,12.985,124.028,regionv_sorsogon
Region V,Sorsogon City,M,84,"44,105",1867,83,1194,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,116,000",60,47,3,12.9812012,124.0246203,regionv_sorsogon
Region V,Tabaco City,M,84,"38,569",1653,51,1389,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,404,000",60,1,0,13.3359126,123.7360113,regionv_tabaco
Region VI,Aklan,M,84,"120,694",5941,380,5747,10,19,1,Province,,"2,400,000","3,120",1430,143,8,12000,"16,006,000",285,220,15,11.7040031,122.3267881,regionvi_aklan
